id,Datum,Uhrzeit,Tür_id,Mitarbeiter_Id
1,06/27/2024,08:05:57,404,28
2,06/27/2024,09:34:20,404,28
3,06/27/2024,16:53:07,404,28
4,06/27/2024,16:18:49,404,28
5,06/27/2024,12:44:32,404,28
6,06/27/2024,12:02:40,404,28
7,06/27/2024,10:51:10,404,28
8,06/27/2024,11:44:06,101,10
9,06/27/2024,12:26:11,101,11
10,06/27/2024,15:38:29,101,3
11,06/27/2024,09:11:48,101,6
12,06/27/2024,15:29:01,101,11
13,06/27/2024,14:55:56,101,15
14,06/27/2024,12:03:03,301,1
15,06/27/2024,12:20:12,301,29
16,06/27/2024,11:48:48,301,30
17,06/27/2024,12:35:38,301,5
18,06/27/2024,09:19:48,301,16
19,06/27/2024,09:15:32,301,17
20,06/27/2024,06:56:14,Haupteingang,1
21,06/27/2024,08:16:00,Haupteingang,2
22,06/27/2024,06:37:08,Haupteingang,3
23,06/27/2024,09:03:28,Haupteingang,4
24,06/27/2024,07:59:24,Haupteingang,5
25,06/27/2024,09:21:37,Haupteingang,6
26,06/27/2024,06:43:13,Haupteingang,7
27,06/27/2024,08:43:31,Haupteingang,8
28,06/27/2024,06:44:38,Haupteingang,9
29,06/27/2024,09:42:20,Haupteingang,10
30,06/27/2024,07:07:26,Haupteingang,11
31,06/27/2024,08:55:17,Haupteingang,12
32,06/27/2024,06:34:06,Haupteingang,13
33,06/27/2024,09:40:48,Haupteingang,14
34,06/27/2024,07:41:16,Haupteingang,15
35,06/27/2024,06:15:00,Haupteingang,16
36,06/27/2024,09:26:12,Haupteingang,17
37,06/27/2024,06:38:38,Haupteingang,18
38,06/27/2024,09:42:50,Haupteingang,19
39,06/27/2024,06:02:48,Haupteingang,20
40,06/27/2024,08:46:42,Haupteingang,21
41,06/27/2024,06:16:31,Haupteingang,22
42,06/27/2024,06:49:02,Haupteingang,23
43,06/27/2024,06:31:14,Haupteingang,24
44,06/27/2024,09:02:34,Haupteingang,25
45,06/27/2024,06:27:14,Haupteingang,26
46,06/27/2024,06:08:41,Haupteingang,27
47,06/27/2024,08:48:50,Haupteingang,28
48,06/27/2024,09:00:04,Haupteingang,29
49,06/27/2024,07:05:33,Haupteingang,30
50,06/27/2024,07:13:13,Haupteingang,31
51,06/27/2024,07:47:14,Haupteingang,32
52,06/27/2024,08:22:56,Haupteingang,33
53,06/27/2024,08:02:29,Haupteingang,34
54,06/27/2024,11:13:13,Haupteingang,1
55,06/27/2024,12:03:03,Haupteingang,1
56,06/27/2024,11:06:18,Haupteingang,2
57,06/27/2024,11:48:43,Haupteingang,2
58,06/27/2024,11:43:34,Haupteingang,3
59,06/27/2024,12:05:35,Haupteingang,3
60,06/27/2024,11:25:16,Haupteingang,4
61,06/27/2024,11:59:21,Haupteingang,4
62,06/27/2024,11:26:33,Haupteingang,5
63,06/27/2024,12:11:46,Haupteingang,5
64,06/27/2024,11:34:24,Haupteingang,6
65,06/27/2024,12:13:52,Haupteingang,6
66,06/27/2024,11:51:20,Haupteingang,7
67,06/27/2024,12:50:08,Haupteingang,7
68,06/27/2024,11:55:47,Haupteingang,8
69,06/27/2024,12:11:52,Haupteingang,8
70,06/27/2024,11:14:42,Haupteingang,9
71,06/27/2024,11:57:28,Haupteingang,9
72,06/27/2024,11:29:28,Haupteingang,10
73,06/27/2024,11:44:06,Haupteingang,10
74,06/27/2024,11:51:15,Haupteingang,11
75,06/27/2024,12:26:11,Haupteingang,11
76,06/27/2024,11:55:47,Haupteingang,12
77,06/27/2024,12:47:13,Haupteingang,12
78,06/27/2024,11:11:47,Haupteingang,13
79,06/27/2024,11:49:06,Haupteingang,13
80,06/27/2024,11:51:30,Haupteingang,14
81,06/27/2024,12:27:55,Haupteingang,14
82,06/27/2024,11:07:55,Haupteingang,15
83,06/27/2024,11:19:29,Haupteingang,15
84,06/27/2024,11:44:34,Haupteingang,16
85,06/27/2024,12:35:48,Haupteingang,16
86,06/27/2024,11:39:52,Haupteingang,17
87,06/27/2024,12:18:26,Haupteingang,17
88,06/27/2024,11:55:14,Haupteingang,18
89,06/27/2024,12:17:04,Haupteingang,18
90,06/27/2024,11:55:49,Haupteingang,19
91,06/27/2024,12:44:02,Haupteingang,19
92,06/27/2024,11:20:31,Haupteingang,20
93,06/27/2024,11:42:05,Haupteingang,20
94,06/27/2024,11:20:08,Haupteingang,21
95,06/27/2024,11:24:36,Haupteingang,21
96,06/27/2024,11:52:55,Haupteingang,22
