id,Datum,Uhrzeit,Tür_id,Mitarbeiter_Id
1,27.06.2024,08:05:57,404,28
2,27.06.2024,09:34:20,404,28
3,27.06.2024,16:53:07,404,28
4,27.06.2024,16:18:49,404,28
5,27.06.2024,12:44:32,404,28
6,27.06.2024,12:02:40,404,28
7,27.06.2024,10:51:10,404,28
8,27.06.2024,11:44:06,101,10
9,27.06.2024,12:26:11,101,11
10,27.06.2024,15:38:29,101,3
11,27.06.2024,09:11:48,101,6
12,27.06.2024,15:29:01,101,11
13,27.06.2024,14:55:56,101,15
14,27.06.2024,12:03:03,301,1
15,27.06.2024,12:20:12,301,29
16,27.06.2024,11:48:48,301,30
17,27.06.2024,12:35:38,301,5
18,27.06.2024,09:19:48,301,16
19,27.06.2024,09:15:32,301,17
20,27.06.2024,06:56:14,Haupteingang,1
21,27.06.2024,08:16:00,Haupteingang,2
22,27.06.2024,06:37:08,Haupteingang,3
23,27.06.2024,09:03:28,Haupteingang,4
24,27.06.2024,07:59:24,Haupteingang,5
25,27.06.2024,09:21:37,Haupteingang,6
26,27.06.2024,06:43:13,Haupteingang,7
27,27.06.2024,08:43:31,Haupteingang,8
28,27.06.2024,06:44:38,Haupteingang,9
29,27.06.2024,09:42:20,Haupteingang,10
30,27.06.2024,07:07:26,Haupteingang,11
31,27.06.2024,08:55:17,Haupteingang,12
32,27.06.2024,06:34:06,Haupteingang,13
33,27.06.2024,09:40:48,Haupteingang,14
34,27.06.2024,07:41:16,Haupteingang,15
35,27.06.2024,06:15:00,Haupteingang,16
36,27.06.2024,09:26:12,Haupteingang,17
37,27.06.2024,06:38:38,Haupteingang,18
38,27.06.2024,09:42:50,Haupteingang,19
39,27.06.2024,06:02:48,Haupteingang,20
40,27.06.2024,08:46:42,Haupteingang,21
41,27.06.2024,06:16:31,Haupteingang,22
42,27.06.2024,06:49:02,Haupteingang,23
43,27.06.2024,06:31:14,Haupteingang,24
44,27.06.2024,09:02:34,Haupteingang,25
45,27.06.2024,06:27:14,Haupteingang,26
46,27.06.2024,06:08:41,Haupteingang,27
47,27.06.2024,08:48:50,Haupteingang,28
48,27.06.2024,09:00:04,Haupteingang,29
49,27.06.2024,07:05:33,Haupteingang,30
50,27.06.2024,07:13:13,Haupteingang,31
51,27.06.2024,07:47:14,Haupteingang,32
52,27.06.2024,08:22:56,Haupteingang,33
53,27.06.2024,08:02:29,Haupteingang,34
54,27.06.2024,11:13:13,Haupteingang,1
55,27.06.2024,12:03:03,Haupteingang,1
56,27.06.2024,11:06:18,Haupteingang,2
57,27.06.2024,11:48:43,Haupteingang,2
58,27.06.2024,11:43:34,Haupteingang,3
59,27.06.2024,12:05:35,Haupteingang,3
60,27.06.2024,11:25:16,Haupteingang,4
61,27.06.2024,11:59:21,Haupteingang,4
62,27.06.2024,11:26:33,Haupteingang,5
63,27.06.2024,12:11:46,Haupteingang,5
64,27.06.2024,11:34:24,Haupteingang,6
65,27.06.2024,12:13:52,Haupteingang,6
66,27.06.2024,11:51:20,Haupteingang,7
67,27.06.2024,12:50:08,Haupteingang,7
68,27.06.2024,11:55:47,Haupteingang,8
69,27.06.2024,12:11:52,Haupteingang,8
70,27.06.2024,11:14:42,Haupteingang,9
71,27.06.2024,11:57:28,Haupteingang,9
72,27.06.2024,11:29:28,Haupteingang,10
73,27.06.2024,11:44:06,Haupteingang,10
74,27.06.2024,11:51:15,Haupteingang,11
75,27.06.2024,12:26:11,Haupteingang,11
76,27.06.2024,11:55:47,Haupteingang,12
77,27.06.2024,12:47:13,Haupteingang,12
78,27.06.2024,11:11:47,Haupteingang,13
79,27.06.2024,11:49:06,Haupteingang,13
80,27.06.2024,11:51:30,Haupteingang,14
81,27.06.2024,12:27:55,Haupteingang,14
82,27.06.2024,11:07:55,Haupteingang,15
83,27.06.2024,11:19:29,Haupteingang,15
84,27.06.2024,11:44:34,Haupteingang,16
85,27.06.2024,12:35:48,Haupteingang,16
86,27.06.2024,11:39:52,Haupteingang,17
87,27.06.2024,12:18:26,Haupteingang,17
88,27.06.2024,11:55:14,Haupteingang,18
89,27.06.2024,12:17:04,Haupteingang,18
90,27.06.2024,11:55:49,Haupteingang,19
91,27.06.2024,12:44:02,Haupteingang,19
92,27.06.2024,11:20:31,Haupteingang,20
93,27.06.2024,11:42:05,Haupteingang,20
94,27.06.2024,11:20:08,Haupteingang,21
95,27.06.2024,11:24:36,Haupteingang,21
96,27.06.2024,11:52:55,Haupteingang,22
97,27.06.2024,12:33:01,Haupteingang,22
98,27.06.2024,11:01:16,Haupteingang,23
99,27.06.2024,11:43:00,Haupteingang,23
100,27.06.2024,11:40:30,Haupteingang,24
101,27.06.2024,12:04:58,Haupteingang,24
102,27.06.2024,11:00:56,Haupteingang,25
103,27.06.2024,11:15:03,Haupteingang,25
104,27.06.2024,11:33:33,Haupteingang,26
105,27.06.2024,11:38:00,Haupteingang,26
106,27.06.2024,11:34:01,Haupteingang,27
107,27.06.2024,11:35:48,Haupteingang,27
108,27.06.2024,11:19:31,Haupteingang,28
109,27.06.2024,11:24:15,Haupteingang,28
110,27.06.2024,11:43:51,Haupteingang,29
111,27.06.2024,12:20:12,Haupteingang,29
112,27.06.2024,11:36:26,Haupteingang,30
113,27.06.2024,11:48:48,Haupteingang,30
114,27.06.2024,11:07:54,Haupteingang,31
115,27.06.2024,11:12:29,Haupteingang,31
116,27.06.2024,11:54:43,Haupteingang,32
117,27.06.2024,12:19:59,Haupteingang,32
118,27.06.2024,11:04:38,Haupteingang,33
119,27.06.2024,11:14:08,Haupteingang,33
120,27.06.2024,11:34:03,Haupteingang,34
121,27.06.2024,11:38:05,Haupteingang,34
122,27.06.2024,14:27:52,Haupteingang,1
